"keyword"	"group"
"Azure SQL"	"Cloud & Managed Services"
"Azure SQL Database"	"Cloud & Managed Services"
"Azure Storage"	"Cloud & Managed Services"
"Azure Stream Analytics"	"Cloud & Managed Services"
"Azure Synapse Analytics"	"Cloud & Managed Services"
"Azure Virtual Desktop"	"Cloud & Managed Services"
"Azure vWAN"	"Cloud & Managed Services"
"Azure/ AWS"	"Cloud & Managed Services"
"AzureAI"	"Cloud & Managed Services"
"AzureDevops"	"Cloud & Managed Services"
"AzureML"	"Cloud & Managed Services"
"b"	"Other / Unclassified"
"Babel"	"Other / Unclassified"
"Back-end"	"Other / Unclassified"
"Backbone.js"	"Other / Unclassified"
"Backend"	"Other / Unclassified"
"Backlog management"	"Other / Unclassified"
"Backstage"	"Other / Unclassified"
"BACKSTAGE.IO"	"Other / Unclassified"
"Backup"	"Other / Unclassified"
"Backup&Disaster Recovery"	"Other / Unclassified"
"BADI"	"Other / Unclassified"
"BADIs"	"Other / Unclassified"
"Balsamiq"	"Other / Unclassified"
"Bamboo"	"Tools & Collaboration"
"banking domain"	"Other / Unclassified"
"Bankowoæ"	"Other / Unclassified"
"BAPI"	"Other / Unclassified"
"Baramundi"	"Other / Unclassified"
"Bardzo dobra znajomoæ polskich przepisów ksiêgowych i podatkowych"	"Other / Unclassified"
"Bardzo dobre zdolnoci organizacyjne i komunikacyjne"	"Other / Unclassified"
"Barracuda"	"Other / Unclassified"
"Basecamp"	"Other / Unclassified"
"Basel"	"Other / Unclassified"
"Baselinker"	"Other / Unclassified"
"Bash"	"Programming Languages"
"Bash Shell"	"Other / Unclassified"
"Bash/Shell"	"Other / Unclassified"
"Bash/Unix"	"Other / Unclassified"
"Batch"	"Other / Unclassified"
"Bazel"	"Other / Unclassified"
"bazy danych"	"Other / Unclassified"
"BCBS239"	"Other / Unclassified"
"bccm"	"Other / Unclassified"
"BDD"	"Methodologies & Concepts"
"BeEF"	"Other / Unclassified"
"BERT"	"Other / Unclassified"
"Bezpieczeñstwo i architektura systemów"	"Other / Unclassified"
"BGP"	"Other / Unclassified"
"BI"	"Databases & Data Stores"
"BI Publisher"	"Other / Unclassified"
"BIB"	"Other / Unclassified"
"Biblioteki ML"	"Other / Unclassified"
"Bicep"	"Other / Unclassified"
"Biceps"	"Other / Unclassified"
"Big Data"	"Other / Unclassified"
"Big Query"	"Other / Unclassified"
"BIgData"	"Other / Unclassified"
"BigPicture"	"Other / Unclassified"
"BigQuery"	"Databases & Data Stores"
"Bill of Materials"	"Other / Unclassified"
"BIM"	"Other / Unclassified"
"Bitbacket"	"Other / Unclassified"
"Bitbucket"	"Tools & Collaboration"
"Bitrix24"	"Other / Unclassified"
"Bizagi"	"Other / Unclassified"
"Bizagi BPM Modeler"	"Other / Unclassified"
"BlackLine"	"Other / Unclassified"
"Blazent"	"Other / Unclassified"
"Blazor"	"Other / Unclassified"
"BLE"	"Other / Unclassified"
"Blender"	"Other / Unclassified"
"Blender 3D"	"Other / Unclassified"
"BLoC"	"Other / Unclassified"
"BloodHound"	"Other / Unclassified"
"Blue Prism"	"Other / Unclassified"
"Blue Yonder ESP"	"Other / Unclassified"
"Blue Yonder SEQ"	"Other / Unclassified"
"Bluecat"	"Other / Unclassified"
"Blueprints"	"Other / Unclassified"
"BluePrism"	"Other / Unclassified"
"Bluetooth Low Energy"	"Other / Unclassified"
"BMC Helix"	"Other / Unclassified"
"BMC Helix platform"	"Other / Unclassified"
"BMC Remedy"	"Other / Unclassified"
"BMPN"	"Other / Unclassified"
"BMS"	"Other / Unclassified"
"BOM Management"	"Other / Unclassified"
"Bonds"	"Other / Unclassified"
"Boomi"	"Other / Unclassified"
"Boost"	"Other / Unclassified"
"Bootloader"	"Other / Unclassified"
"Bootstrap"	"Other / Unclassified"
"Botify"	"Other / Unclassified"
"BPM"	"Other / Unclassified"
"BPMN"	"Methodologies & Concepts"
"BPMS"	"Other / Unclassified"
"brak"	"Other / Unclassified"
"Branch office Network"	"Other / Unclassified"
"BRICS"	"Other / Unclassified"
"Broadcom"	"Other / Unclassified"
"Brocade"	"Other / Unclassified"
"BrowserStack"	"Other / Unclassified"
"Bruno"	"Other / Unclassified"
"BSP"	"Other / Unclassified"
"BTP"	"Other / Unclassified"
"Buildroot"	"Other / Unclassified"
"Burp suit"	"Other / Unclassified"
"Burp Suite"	"Other / Unclassified"
"Business Analyses"	"Other / Unclassified"
"Business Analysis"	"Other / Unclassified"
"business analyst"	"Other / Unclassified"
"Business Architecture"	"Other / Unclassified"
"Business Central"	"Other / Unclassified"
"C"	"Programming Languages"
"C/AL"	"Other / Unclassified"
"C/C++"	"Other / Unclassified"
"C#"	"Programming Languages"
"C#.NET"	"Frameworks & Platforms"
"C++"	"Programming Languages"
"C++ 11/14"	"Other / Unclassified"
"C4"	"Other / Unclassified"
"CAD"	"Other / Unclassified"
"Cain & Abel"	"Other / Unclassified"
"CakePHP"	"Other / Unclassified"
"CALM"	"Other / Unclassified"
"Calypso"	"Other / Unclassified"
"Camel"	"Other / Unclassified"
"CameraX"	"Other / Unclassified"
"Campaign management tool"	"Other / Unclassified"
"Campaign management tools"	"Other / Unclassified"
"Campaigns"	"Other / Unclassified"
"Camunda"	"Other / Unclassified"
"Camunda BPM"	"Other / Unclassified"
"Camunda BPM 7"	"Other / Unclassified"
"Camunda Modeler"	"Other / Unclassified"
"camunda7"	"Other / Unclassified"
"camunda8"	"Other / Unclassified"
"CAN"	"Other / Unclassified"
"Canva"	"Other / Unclassified"
"Canvas"	"Other / Unclassified"
"Capacitor"	"Other / Unclassified"
"CASE"	"Other / Unclassified"
"Cassandra"	"Databases & Data Stores"
"CCNA"	"Other / Unclassified"
"CCNP"	"Other / Unclassified"
"CCNP Data Center"	"Other / Unclassified"
"CCPA"	"Other / Unclassified"
"CCSDS"	"Other / Unclassified"
"CCSK"	"Other / Unclassified"
"CCSP"	"Other / Unclassified"
"CCTV"	"Other / Unclassified"
"CDA"	"Other / Unclassified"
"CDC"	"Other / Unclassified"
"CDC / Data Replication"	"Other / Unclassified"
"CDK"	"Other / Unclassified"
"CDS"	"Other / Unclassified"
"CDS Views"	"Other / Unclassified"
"CEH"	"Other / Unclassified"
"Cechuje siê analitycznym sposobem mylenia"	"Other / Unclassified"
"Celery"	"Other / Unclassified"
"Celonis"	"Other / Unclassified"
"Censys"	"Other / Unclassified"
"CentOS"	"Other / Unclassified"
"centralny system kopii zapasowych i odtwarzania"	"Other / Unclassified"
"Centreon"	"Other / Unclassified"
"Ceph"	"Other / Unclassified"
"Certyfikat ISTQB"	"Other / Unclassified"
"Certyfikaty OpenText / Documentum"	"Other / Unclassified"
"Certyfikaty SAP S/4HANA"	"Other / Unclassified"
"Cesium"	"Other / Unclassified"
"CFT"	"Other / Unclassified"
"CI"	"Methodologies & Concepts"
"CI/CD"	"Methodologies & Concepts"
"CI/CD pipelines"	"Tools & Collaboration"
"CI/CD Security"	"Other / Unclassified"
"CI/CD Tools"	"Other / Unclassified"
"CICD"	"Methodologies & Concepts"
"CICS"	"Other / Unclassified"
"CICS/MQ"	"Other / Unclassified"
"CISA"	"Other / Unclassified"
"Cisco"	"Other / Unclassified"
"Cisco ACI infrastructure"	"Other / Unclassified"
"Cisco Catalyst"	"Other / Unclassified"
"Cisco Duo"	"Other / Unclassified"
"Cisco ISE"	"Other / Unclassified"
"Cisco MDS SAN"	"Other / Unclassified"
"Cisco Meraki"	"Other / Unclassified"
"Cisco Nexus Dashboard"	"Other / Unclassified"
"CISM"	"Other / Unclassified"
"CISSP"	"Other / Unclassified"
"Citrix"	"Other / Unclassified"
"Citrix / Netscaler"	"Other / Unclassified"
"Citrix Certified Professional or Expert  Virtualization"	"Other / Unclassified"
"Citrix Client"	"Other / Unclassified"
"Citrix Cloud"	"Cloud & Managed Services"
"Citrix Cloud Certified (CC-VAD-CC"	"Cloud & Managed Services"
"Citrix DaaS"	"Other / Unclassified"
"Citrix Director"	"Other / Unclassified"
"Citrix NetScaler"	"Other / Unclassified"
"Citrix policies"	"Other / Unclassified"
"Citrix security analytics"	"Other / Unclassified"
"Citrix Studio"	"Other / Unclassified"
"Citrix Virtual Apps and Desktops"	"Other / Unclassified"
"Citrix WEM"	"Other / Unclassified"
"Citus"	"Other / Unclassified"
"Claim Center"	"Other / Unclassified"
"Classic ASP"	"Other / Unclassified"
"Classification"	"Other / Unclassified"
"Claude"	"Other / Unclassified"
"Claude Code"	"Other / Unclassified"
"Clean Architecture"	"Other / Unclassified"
"Clean Code"	"Other / Unclassified"
"clean room solutions"	"Other / Unclassified"
"CLI"	"Other / Unclassified"
"ClickHouse"	"Databases & Data Stores"
"ClickUp"	"Other / Unclassified"
"ClickUP/ backlog"	"Other / Unclassified"
"Closing Cockpit"	"Other / Unclassified"
"Cloud"	"Cloud & Managed Services"
"Cloud (Azure"	"Cloud & Managed Services"
"Cloud (GCP / Azure / AWS"	"Cloud & Managed Services"
"Cloud Composer"	"Cloud & Managed Services"
"Cloud Computing"	"Cloud & Managed Services"
"Cloud Dataflow"	"Cloud & Managed Services"
"Cloud Dataproc"	"Cloud & Managed Services"
"Cloud Foundry"	"Cloud & Managed Services"
"Cloud Functions"	"Cloud & Managed Services"
"Cloud Identity Providers"	"Cloud & Managed Services"
"cloud infrastructure deployments"	"Cloud & Managed Services"
"Cloud Integration"	"Cloud & Managed Services"
"Cloud KMS"	"Cloud & Managed Services"
"Cloud Meraki"	"Cloud & Managed Services"
"Cloud Run"	"Cloud & Managed Services"
"Cloud Security"	"Cloud & Managed Services"
"Cloud SQL"	"Cloud & Managed Services"
"Cloud Storage"	"Cloud & Managed Services"
"cloud watch"	"Cloud & Managed Services"
"Cloudera"	"Cloud & Managed Services"
"Cloudera Hadoop stack"	"Cloud & Managed Services"
"Cloudflare"	"Cloud & Managed Services"
"CloudFormation"	"Cloud & Managed Services"
"CloudFront"	"Cloud & Managed Services"
"CloudGenix"	"Cloud & Managed Services"
"CloudOps"	"Cloud & Managed Services"
"CloudWatch"	"Cloud & Managed Services"
"CMake"	"Other / Unclassified"
"CMDB"	"Other / Unclassified"
"CMS"	"Other / Unclassified"
"CMS Joomla"	"Other / Unclassified"
"CMS Magnolia"	"Other / Unclassified"
"CO"	"Other / Unclassified"
"co najmniej podstawow¹ znajomoci¹ zasad konsolidacji sprawozdañ finansowych oraz MSSF"	"Other / Unclassified"
"COBOL"	"Programming Languages"
"Codebeamer"	"Other / Unclassified"
"CodeceptJS"	"Other / Unclassified"
"CodeIgniter"	"Other / Unclassified"
"Coderabbit"	"Other / Unclassified"
"CognigyAI"	"Other / Unclassified"
"Cognitive Services"	"Other / Unclassified"
"Cognito"	"Other / Unclassified"
"Collibra"	"Other / Unclassified"
"Columnstore Indexes"	"Other / Unclassified"
"COM/COM+"	"Other / Unclassified"
"Comach Optima"	"Other / Unclassified"
"Comarch"	"Other / Unclassified"
"Comarch ERP"	"Other / Unclassified"
"Comarch ERP Optima"	"Other / Unclassified"
"Comarch ERP XL"	"Other / Unclassified"
"Comarch XL"	"Other / Unclassified"
"Comarch XL lub Optima"	"Other / Unclassified"
"Comarche"	"Other / Unclassified"
"Combine"	"Other / Unclassified"
"Commvault"	"Other / Unclassified"
"Compass"	"Other / Unclassified"
"Compiler"	"Other / Unclassified"
"compose"	"Other / Unclassified"
"Compose MultiPlatform"	"Other / Unclassified"
"Composer"	"Other / Unclassified"
"Computer Vision"	"Other / Unclassified"
"Concourse"	"Other / Unclassified"
"Confluence"	"Tools & Collaboration"
"Console NPS"	"Other / Unclassified"
"Consul"	"Other / Unclassified"
"Contact Center"	"Other / Unclassified"
"Contact Manager"	"Other / Unclassified"
"Container Apps"	"Other / Unclassified"
"ContainerApp"	"Other / Unclassified"
"containerization"	"Other / Unclassified"
"Content przez treæ AI"	"Other / Unclassified"
"Context Engineering"	"Other / Unclassified"
"Continuous Integration"	"Other / Unclassified"
"Control-M"	"Other / Unclassified"
"Copilot"	"Other / Unclassified"
"Copilot for Security"	"Other / Unclassified"
"Core"	"Other / Unclassified"
"Core Connectors"	"Other / Unclassified"
