title,mapped_industry,position_level
Account Manager,Engineering & Design,"[""specialist""]"
Account Manager,Technical Sales & B2B,"[""senior specialist"", ""expert""]"
"Account Manager / branża: Beauty, Lifestyle",Marketing & Creative,"[""specialist""]"
Account Manager (branża opakowaniowa),Engineering & Design,"[""senior specialist"", ""expert""]"
Account Manager - Broker Ubezpieczeniowy (K/M) - Specjalizacja Budownictwo i Nieruchomości,Finance & Banking,"[""specialist""]"
Account Manager,IT & Digital Tech,"[""specialist""]"
Account Manager,Technical Sales & B2B,"[""junior specialist"", ""specialist""]"
Account Manager - Central East Europe (Sales and Procurement),Technical Sales & B2B,"[""team manager""]"
Account Manager,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Account Manager - Doradczyni / Doradca klienta biznesowego,Technical Sales & B2B,"[""specialist""]"
Account Manager ds. Oprogramowania dla Biznesu,IT & Digital Tech,"[""specialist""]"
Account Manager,Technical Sales & B2B,"[""specialist""]"
Account Manager – Instytucje Publiczne,IT & Digital Tech,"[""specialist""]"
Account Manager – Instytucje Publiczne,IT & Digital Tech,"[""team manager"", ""manager""]"
Account Manager (k/m),Engineering & Design,"[""specialist""]"
Account Manager (k/m),Engineering & Design,"[""specialist"", ""senior specialist""]"
Account Manager/ka,Technical Sales & B2B,"[""specialist""]"
Account Manager/ka / Opiekun/ka Klienta,IT & Digital Tech,"[""manager""]"
Account Manager/ka,Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Account Manager / Key Account Manager,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Account Manager – Klient Korporacyjny,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Account Manager – Klient Korporacyjny,IT & Digital Tech,"[""specialist""]"
Account Manager,Engineering & Design,"[""manager""]"
Account Manager (m/k/os.),Technical Sales & B2B,"[""specialist""]"
Account Manager / Managerka,Engineering & Design,"[""specialist""]"
Account Manager,Finance & Banking,"[""specialist""]"
Account Manager / Opiekun klienta,Technical Sales & B2B,"[""expert""]"
Account Manager - Opiekun / Opiekunka Klienta w Dziale Współpracy z Klientami,Technical Sales & B2B,"[""specialist""]"
Account Manager / Project Manager,IT & Digital Tech,"[""specialist""]"
Account Manager / Przedstawiciel Medyczny (k/m),Technical Sales & B2B,"[""specialist""]"
Account Manager - Region Centrum,Technical Sales & B2B,"[""specialist""]"
Account Manager Regional Sales,Engineering & Design,"[""specialist""]"
Account Manager Senior 60/40 Public Sector,IT & Digital Tech,"[""senior specialist""]"
Account Manager - Senior Sales Specialist for Automotive in Industrial Automation (f/m/d),Technical Sales & B2B,"[""senior specialist""]"
Account Manager - Starszy/a Specjalista/ka ds. Sprzedaży - systemy automatyki przemysłowej (f/m/d),Engineering & Design,"[""senior specialist""]"
Account Manager Sweet Applications,Engineering & Design,"[""expert""]"
Account Manager,Medicine & Pharma,"[""specialist""]"
Account Manager,Medicine & Pharma,"[""senior specialist""]"
Account Manager Watchman,Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Account Manager with Italian,Technical Sales & B2B,"[""junior specialist""]"
Account Managera (IT),IT & Digital Tech,"[""specialist""]"
Account Operations Specialist / Specjalista ds. operacyjnej obsługi klientów (k/m),IT & Digital Tech,"[""specialist""]"
Accountant - Accounts Payable,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Accountant - Accounts Receivable (AR),Finance & Banking,"[""specialist""]"
Accountant (f/m/d) - replacement contract until 31 July 2027,Finance & Banking,"[""specialist""]"
Accountant,Finance & Banking,"[""specialist""]"
Accountant,,"[""junior specialist"", ""specialist""]"
"Accountant, General Accounting",Finance & Banking,"[""specialist""]"
"Accountant, International Accounting and Reporting (m/f/d)",,"[""senior specialist""]"
Accountant / Księgowy/a,Finance & Banking,"[""specialist""]"
Accountant,Finance & Banking,"[""specialist"", ""senior specialist""]"
Accountant,IT & Digital Tech,"[""specialist""]"
Accountant,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
"Accountant, Purchase to Pay",,"[""specialist""]"
Accountant Receivable to Cash,Finance & Banking,"[""junior specialist"", ""specialist""]"
Accountant Request to Pay,IT & Digital Tech,"[""junior specialist"", ""specialist""]"
Accountant Request to Pay (with French A2),IT & Digital Tech,"[""specialist""]"
Accountant RtR - General Ledger (m/f),Finance & Banking,"[""specialist""]"
Accountant,,"[""specialist""]"
Accountant Specialist,Finance & Banking,"[""specialist""]"
Accountant Specialist (m/k/n),IT & Digital Tech,"[""specialist""]"
Accountant – Statutory Accounting COE,Finance & Banking,"[""senior specialist""]"
Accountant / Tax Specialist in Poland (VAT & Import Support),IT & Digital Tech,"[""senior specialist"", ""expert""]"
Accountant,Marketing & Creative,"[""specialist""]"
Accountant with French (AP/AR/GL/RTR),IT & Digital Tech,"[""junior specialist"", ""specialist""]"
Accountant with French,,"[""specialist""]"
Accountant with German (AP/AR),Marketing & Creative,"[""junior specialist"", ""specialist""]"
Accountant with German,IT & Digital Tech,"[""specialist""]"
Accountant with Polish (They/She/He) - HQ,Finance & Banking,"[""specialist""]"
Accounting Advisor,Finance & Banking,"[""specialist""]"
Accounting Analyst with French Language (R2R),Finance & Banking,"[""specialist"", ""senior specialist""]"
Accounting Analyst with Italian Language (OTC),Finance & Banking,"[""specialist"", ""senior specialist""]"
Accounting and Controlling Specialist (f/m),Finance & Banking,"[""junior specialist"", ""specialist""]"
Accounting Assistant,Finance & Banking,"[""trainee"", ""assistant""]"
Accounting Assistant,Finance & Banking,"[""assistant""]"
Accounting Assistant,IT & Digital Tech,"[""assistant"", ""junior specialist""]"
Accounting Assistant,,"[""assistant""]"
Accounting Controller,Finance & Banking,"[""specialist""]"
Accounting & Financial Reporting Manager,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Accounting Lead,Finance & Banking,"[""manager""]"
Accounting Lead,Finance & Banking,"[""team manager""]"
Accounting Manager/Chief Accountant - znany brand (produkcja),Finance & Banking,"[""team manager"", ""manager""]"
"Accounting Manager - co-op with local SSC, process management",Finance & Banking,"[""manager""]"
Accounting Manager,Finance & Banking,"[""manager""]"
Accounting Manager (m/f),Finance & Banking,"[""manager""]"
Accounting Manager,Finance & Banking,"[""team manager""]"
Accounting Specialist in Financial Services (f/m/d),,"[""specialist""]"
Accounting Specialist - Inventory (2nd shift),Finance & Banking,"[""specialist""]"
Accounting Specialist RTR,IT & Digital Tech,"[""specialist""]"
Accounting Specialist - Specjalista ds. Księgowości,IT & Digital Tech,"[""specialist""]"
Accounting Specialist / Team Coordinator (m/f),Finance & Banking,"[""specialist""]"
Accounting Specialist with foreign languages (AP/AR/GL),Finance & Banking,"[""specialist""]"
Accounting Specialist with French (Private Capital/ Fund Accounting),Finance & Banking,"[""junior specialist"", ""specialist""]"
Accounting Supervisor,Finance & Banking,"[""senior specialist""]"
Accounting Supervisor,IT & Digital Tech,"[""manager""]"
Accounting Supervisor,Finance & Banking,"[""team manager""]"
Accounting Systems Implementation Expert (Banking),Finance & Banking,"[""senior specialist"", ""expert""]"
Accounting & Tax Manager,Finance & Banking,"[""manager""]"
Accounting Team Leader (french speaker),,"[""senior specialist""]"
Accounting Team Leader (m/f/d),Finance & Banking,"[""senior specialist""]"
Accounts Payable Accountant - 12 Months FTC (All Genders),IT & Digital Tech,"[""specialist""]"
Accounts Payable Accountant,IT & Digital Tech,"[""specialist""]"
Accounts Payable Accountant,Finance & Banking,"[""junior specialist"", ""specialist""]"
Accounts Payable Accountant,,"[""specialist""]"
Accounts Payable Accountant with English,,"[""specialist""]"
Accounts Payable (AP) Accountant with German or French,,"[""specialist""]"
Accounts Payable (AP) Specialist with German – SAP | SSC,Marketing & Creative,"[""specialist""]"
Accounts Payable Clerk,Finance & Banking,"[""specialist"", ""senior specialist""]"
Accounts Payable Specialist (Invoice to Pay),Finance & Banking,"[""specialist""]"
Accounts Payable Team Leader,IT & Digital Tech,"[""manager""]"
Accounts Receivable Accountant (all genders),,"[""specialist""]"
Accounts Receivable Accountant,Finance & Banking,"[""junior specialist"", ""specialist""]"
Accounts Receivable Accountant with German (All Genders),,"[""junior specialist"", ""specialist""]"
Accounts Receivable (AR) Accountant,,"[""junior specialist""]"
Accounts Receivable (AR) Accountant with Romanian (All Genders),,"[""specialist""]"
Accounts Receivable & Collections Specialist,,"[""specialist""]"
Accounts Receivable Junior Specialist with Germany,,"[""specialist""]"
Accounts Receivable Specialist with German,Finance & Banking,"[""specialist""]"
Accounts Receivable Team Lead - Credit Management and Collection,Finance & Banking,"[""manager""]"
Accounts Receivables Specialist EMEA with Czech language,Finance & Banking,"[""specialist""]"
Accounts Reconciliation Team Lead,IT & Digital Tech,"[""manager""]"
Accounts Trainee - Poland,Finance & Banking,"[""trainee"", ""assistant""]"
Activation Platforms Development & Execution Lead,Marketing & Creative,"[""manager""]"
Active Directory Administrator,IT & Digital Tech,"[""specialist""]"
Active Directory Specialist,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Actuarial Analyst,,"[""specialist""]"
Actuarial Consultant | f/m/d,,"[""specialist""]"
Actuarial Consultant (Prophet Modelling) | f/m/d,,"[""specialist"", ""senior specialist""]"
Actuarial Modelling & Pricing Lead,,"[""manager"", ""team manager""]"
Actuarial Transformation Lead (Expert),Marketing & Creative,"[""expert""]"
AD&Entra ID Senior Specialist,IT & Digital Tech,"[""senior specialist"", ""expert""]"
Ad Operation Specialist (K/M),Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
ADAS Test Specialist - Kierowca testowy (k/m),Logistics & Supply Chain,"[""specialist""]"
Admin Analyst with French,Marketing & Creative,"[""specialist""]"
Administracja biurowa - logistyka,Customer Service & Admin,"[""assistant""]"
Administration and communication coordinator​ (m/k),Customer Service & Admin,"[""team manager""]"
Administration & Facility Management Specialist | f/m/d,,"[""specialist""]"
Administration & Facility Manager,Construction & Real Estate,"[""manager""]"
Administration Manager,Marketing & Creative,"[""team manager"", ""manager""]"
Administration Specialist / Senior Administration Specialist,,"[""specialist"", ""senior specialist""]"
Administrative and office assistant,Customer Service & Admin,"[""assistant""]"
Administrative Assistant at European Border and Coast Guard Agency,IT & Digital Tech,"[""junior specialist"", ""specialist""]"
Administrative Assistant in Human Resources Division (F/M/D),,"[""junior specialist""]"
Administrative Assistant - M/F/D,IT & Digital Tech,"[""assistant""]"
Administrative Assistant,IT & Digital Tech,"[""assistant""]"
Administrative Assistant,Customer Service & Admin,"[""assistant""]"
Administrative Officer,,"[""specialist""]"
Administrative Officer,Customer Service & Admin,"[""specialist""]"
Administrative Site Assistant (f/m/d),IT & Digital Tech,"[""assistant"", ""junior specialist""]"
Administrative Support Specialist (M/K),Marketing & Creative,"[""specialist""]"
Administrator / Administratorka API Gateway,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka Aplikacji Biznesowych,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Baz Danych PostgreSQL,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka baz danych - Specjalista / Specjalistka ds. systemowych ERP enova365,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka biura,Customer Service & Admin,"[""specialist""]"
Administrator /Administratorka budowy,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka budynków mieszkalnych,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka DevOps,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka DevSecOps / Cyberbezpieczeństwa (poziom senior),IT & Digital Tech,"[""senior specialist""]"
Administrator / Administratorka ds. Infrastruktury IT,IT & Digital Tech,"[""junior specialist"", ""specialist""]"
Administrator / Administratorka ds. nieruchomości,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka ds. Sprzedaży,Engineering & Design,"[""specialist""]"
Administrator / Administratorka ds. zarządzania nieruchomościami,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka Enova365,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka EOD (K/M),IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Help Desk,IT & Digital Tech,"[""junior specialist"", ""specialist""]"
Administrator / Administratorka - Informatyk / Informatyczka,IT & Digital Tech,"[""specialist""]"
Administrator/Administratorka Infrastruktury Chmurowej i Systemów IT,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Infrastruktury i Bezpieczeństwa IT,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Infrastruktury IT,IT & Digital Tech,"[""specialist""]"
Administrator/Administratorka Infrastruktury IT (LUX MED Onkologia - Szpital Szamocka),IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka IT,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka IT,IT & Digital Tech,"[""senior specialist"", ""expert""]"
Administrator / Administratorka IT,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator/Administratorka JIRA,IT & Digital Tech,"[""junior specialist"", ""specialist""]"
Administrator / Administratorka Kontraktu - Roszczeniowiec,Construction & Real Estate,"[""specialist""]"
Administrator/Administratorka Nieruchomości Mieszkaniowych,Construction & Real Estate,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka Nieruchomości,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka nieruchomości - Specjalista / Specjalistka ds. eksploatacji,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka Nieruchomości w Departamencie Nieruchomości,Engineering & Design,"[""specialist""]"
Administrator/Administratorka Nieruchomości - Zarządca / Zarządczyni,Construction & Real Estate,"[""specialist""]"
Administrator/Administratorka obiektów budowlanych,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka Obiektu,Skilled Trades,"[""manual worker""]"
Administrator/Administratorka Osiedla,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka - Osiedle WSM Rudawka,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka osiedli,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka PostgreSQL,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka Procesów Operacyjnych,Marketing & Creative,"[""specialist""]"
Administrator/Administratorka Punktu Odzieży w zakładzie produkcyjnym,Marketing & Creative,"[""manual worker""]"
Administrator / Administratorka serwisu internetowego,IT & Digital Tech,"[""specialist""]"
Administrator/Administratorka sieci i systemów teleinformatycznych,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Sieci,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka sieci,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka sieci Wlan / Network Engineer (Wlan),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka sklepu internetowego,Technical Sales & B2B,"[""specialist""]"
Administrator / Administratorka - Specjalista / Specjalistka ds. Części Zamiennych - ds. Logistyki,Logistics & Supply Chain,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka sprzedaży,Technical Sales & B2B,"[""specialist""]"
Administrator / Administratorka systemów centrum przetwarzania danych,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Systemów ERP (Comarch ERP XL / DMS / BPM / WMS),IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka systemów i aplikacji (f/m/x),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka systemów Informatycznych,IT & Digital Tech,"[""junior specialist"", ""specialist""]"
Administrator / Administratorka systemów informatycznych (MS Windows),IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Systemów Informatycznych,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka systemów Informatycznych,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Systemów IT,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka systemów IT,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka systemów IT,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka systemów IT,IT & Digital Tech,"[""junior specialist"", ""specialist""]"
Administrator / Administratorka systemów IT z językiem niemieckim (M/K/OS),IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka systemów komputerowych,IT & Digital Tech,"[""specialist""]"
Administrator/Administratorka systemów Linux / PostgreSQL,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Systemów Teleinformatycznych,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka Systemów,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
administrator / administratorka systemu centralnego,IT & Digital Tech,"[""specialist""]"
Administrator/Administratorka systemu Comarch CDN XL,IT & Digital Tech,"[""senior specialist""]"
Administrator / Administratorka Systemu ERP,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator / Administratorka systemu informatycznego,IT & Digital Tech,"[""specialist""]"
Administrator / Administratorka,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka Wspólnot Mieszkaniowych,Construction & Real Estate,"[""specialist""]"
Administrator / Administratorka - Zarządca / Zarządczyni Nieruchomości,Construction & Real Estate,"[""specialist""]"
Administrator Aplikacji / Administratorka Aplikacji,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator Baz Danych (k/m/os),IT & Digital Tech,"[""specialist""]"
Administrator baz danych Oracle,IT & Digital Tech,"[""specialist""]"
Administrator bezpieczeństwa IT (k/m),IT & Digital Tech,"[""specialist""]"
Administrator,IT & Digital Tech,"[""specialist""]"
Administrator biura techniczno-handlowego,Customer Service & Admin,"[""specialist""]"
Administrator biura,,"[""specialist""]"
Administrator Biznesowy / Administratorka Biznesowa Systemów Treasury,Finance & Banking,"[""specialist""]"
Administrator Działu Sprzedaży,Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Administrator HR,HR & Recruitment,"[""specialist""]"
Administrator IAM - One Identity Manager,IT & Digital Tech,"[""specialist""]"
Administrator Infrastruktury Chmurowej (k/m),IT & Digital Tech,"[""specialist""]"
Administrator infrastruktury IT,IT & Digital Tech,"[""specialist""]"
Administrator IT / DevOps (K/M),IT & Digital Tech,"[""specialist""]"
Administrator IT - Informatyk,IT & Digital Tech,"[""specialist""]"
Administrator IT / Inżynier Systemowo-Sieciowy (Windows/Linux & Sieci) - k/m,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator IT,IT & Digital Tech,"[""specialist""]"
Administrator IT (K/M),IT & Digital Tech,"[""specialist""]"
Administrator IT (m/f/x),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator IT (m/f/x),IT & Digital Tech,"[""specialist""]"
Administrator IT&T,IT & Digital Tech,"[""specialist""]"
Administrator IT,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator/ka ERP,IT & Digital Tech,"[""specialist""]"
Administrator/-ka IT,IT & Digital Tech,"[""specialist""]"
Administrator/ka IT,IT & Digital Tech,"[""specialist""]"
Administrator/ka Kontraktu – budownictwo kolejowe,IT & Digital Tech,"[""specialist""]"
Administrator/-ka narzędzia IAM,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator/ka nieruchomości - wspólnot mieszkaniowych,Construction & Real Estate,"[""specialist""]"
Administrator/ka Platformy AI/Azure DevOps,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator/ka Sprzedaży,Marketing & Creative,"[""specialist""]"
Administrator/ka strony www,IT & Digital Tech,"[""specialist""]"
Administrator/ka Systemów IT (x86 i VMware),IT & Digital Tech,"[""senior specialist"", ""expert""]"
Administrator/ka systemów niejawnych,IT & Digital Tech,"[""specialist""]"
Administrator/-ka Systemów / Specjalista/-ka SQL (T-SQL),IT & Digital Tech,"[""specialist""]"
Administrator(-ka) Systemów Wsparcia Sprzedaży,Marketing & Creative,"[""junior specialist"", ""specialist""]"
Administrator/ka systemu IT,IT & Digital Tech,"[""specialist""]"
Administrator/-ka systemu magazynowego WMS/ERP,IT & Digital Tech,"[""specialist""]"
Administrator Kontraktu (k/m/n),Construction & Real Estate,"[""specialist"", ""senior specialist""]"
Administrator Linux,IT & Digital Tech,"[""specialist""]"
Administrator majątku prywatnego - Koordynator inwestycji nieruchomościowych,Construction & Real Estate,"[""team manager""]"
Administrator Middleware,IT & Digital Tech,"[""specialist""]"
Administrator nieruchomości (k/m),Construction & Real Estate,"[""specialist""]"
Administrator nieruchomości (K/M/X),Construction & Real Estate,"[""junior specialist""]"
Administrator Nieruchomości (m/k),Construction & Real Estate,"[""junior specialist"", ""specialist""]"
Administrator nieruchomości,Construction & Real Estate,"[""specialist""]"
Administrator Nieruchomości,Construction & Real Estate,"[""specialist""]"
Administrator nieruchomości wspólnot mieszkaniowych,Construction & Real Estate,"[""specialist""]"
Administrator nieruchomości - Zarządca nieruchomości,Construction & Real Estate,"[""specialist""]"
Administrator nieruchomości - Zarządca nieruchomości (K/M),Construction & Real Estate,"[""specialist""]"
Administrator nieruchomości - Zarządca nieruchomości (K/M),Construction & Real Estate,"[""specialist"", ""senior specialist""]"
Administrator Obiektu (f/m/o),Engineering & Design,"[""specialist""]"
Administrator Obiektu (M/K/N),Engineering & Design,"[""specialist""]"
Administrator Operacji Magazynowych (K/M),Logistics & Supply Chain,"[""specialist""]"
Administrator placówki medycznej,Medicine & Pharma,"[""specialist""]"
Administrator placówki medycznej,Medicine & Pharma,"[""manager""]"
Administrator Procesów Logistycznych (M/K),Logistics & Supply Chain,"[""specialist""]"
Administrator projektów budowlanych,Construction & Real Estate,"[""specialist""]"
Administrator Rekrutacji (k/m),HR & Recruitment,"[""junior specialist"", ""specialist""]"
Administrator SAP BW (m/k),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator SAP - Obszar Magazyn (K/M/N),Logistics & Supply Chain,"[""junior specialist"", ""specialist""]"
Administrator Sekcji Operacji Magazynowych (K/M),Logistics & Supply Chain,"[""junior specialist""]"
Administrator Sieci i Systemów (m/k),IT & Digital Tech,"[""specialist""]"
Administrator Sieci IT (k/m),IT & Digital Tech,"[""specialist""]"
Administrator Sieci IT K/M,IT & Digital Tech,"[""specialist""]"
Administrator Sieci IT (LAN/WAN) (K/M/N),IT & Digital Tech,"[""specialist""]"
Administrator Sieci LAN/WAN (k/m),IT & Digital Tech,"[""specialist""]"
Administrator Sieci (M/K),IT & Digital Tech,"[""senior specialist""]"
Administrator Sklepu - Starszy Kasjer (ukraińska sieć handlowa),Technical Sales & B2B,"[""manager""]"
Administrator Sprzedaży z obsługą kasy (k/m),Marketing & Creative,"[""specialist""]"
Administrator Systemów Chmurowych (k/m),IT & Digital Tech,"[""specialist""]"
Administrator Systemów i infrastruktury chmurowej (Azure),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator Systemów Informatycznych (k/m),IT & Digital Tech,"[""specialist""]"
Administrator systemów IT,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator systemów IT - Inżynier sieciowy,IT & Digital Tech,"[""specialist""]"
Administrator Systemów IT K/M,IT & Digital Tech,"[""specialist""]"
Administrator Systemów IT (k/m),IT & Digital Tech,"[""specialist""]"
Administrator Systemów IT (K/M),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator systemów IT (M/K/N),IT & Digital Tech,"[""specialist""]"
Administrator Systemów IT (m/k/n),IT & Digital Tech,"[""senior specialist"", ""expert""]"
Administrator systemów IT (m/k),IT & Digital Tech,"[""junior specialist"", ""specialist""]"
Administrator Systemów IT (M/K/X),IT & Digital Tech,"[""specialist""]"
Administrator Systemów Linux (K/M),IT & Digital Tech,"[""specialist""]"
Administrator Systemów Microsoft (k/m),IT & Digital Tech,"[""specialist""]"
Administrator systemów radiowych BSS/RAN systemu GSM-R (k/m),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator systemu Comarch ERP,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator Systemu Magazynowego (m/k),Logistics & Supply Chain,"[""specialist""]"
Administrator Systemu Transakcyjnego (m/k/n),IT & Digital Tech,"[""specialist""]"
Administrator Systemu Transakcyjnego,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Administrator szkoły wózków widłowych,Education & Science,"[""specialist""]"
Administrator w dziale finansowym z językiem francuskim (m/k/x),Finance & Banking,"[""assistant""]"
Administrator w Dziale Finansowym z językiem francuskim (m/k/x),Marketing & Creative,"[""assistant""]"
Administrator w Dziale Finansowym z językiem niemieckim (m/k/x),Finance & Banking,"[""assistant""]"
Administrator w kwiaciarni,Customer Service & Admin,"[""specialist""]"
Administrator / wdrożeniowiec,IT & Digital Tech,"[""senior specialist""]"
Administrator Wspólnot Mieszkaniowych,Construction & Real Estate,"[""specialist""]"
Administrator z językiem niemieckim (m/k/x),Technical Sales & B2B,"[""assistant"", ""junior specialist""]"
Administrator - Zarządca do obsługi wspólnot mieszkaniowych,Construction & Real Estate,"[""specialist"", ""senior specialist""]"
Administrator - Zarządca nieruchomości,Construction & Real Estate,"[""specialist""]"
